reasoning,company,job_title,location,domain,domain_specific_skills,work_model,min_experience,max_experience,number_of_employeees,weeks_since_posting,min_salary,max_salary,no_of_applicants,company_type,key_responsibilities,technical_requirements,education,benefits_culture,unique_aspects,application_link,applicant_insights
"The job posting is for a Software Engineer II at Aristocrat. The information provided includes details about the company, job responsibilities, required skills, experience level, and benefits. I will extract the relevant information and populate the output fields accordingly.",Aristocrat,"Engineer II, Software Engineer","Gurugram, Haryana, India","Gaming, Software Development","C++, Data Structures, Algorithms, STL, Embedded Software, Device Drivers, Networking, Graphics",Hybrid,2,4,"5,001-10,000",0,,,100,"Public Company, Gambling Facilities and Casinos","Good C++ programming skills, Strong on Data Structures and Algorithms, Good Linux and Windows development & debugging experience, Good Experience on Design Patterns, STL, Exposure to Embedded Software, Device Drivers, Protocol Stacks, Networking & Graphics, Object Oriented Design and Programming Experience, Good debugging skills, Strong Analytical Skills, Experience with and using 3rd party software development tools, Experience in working on Agile projects.","C++, Data Structures, Algorithms, STL, Linux, Windows, Embedded Software, Device Drivers, Networking, Graphics, Agile methodologies.",Bachelors,"Robust benefits package, Global career opportunities, Focus on employee wellbeing, Commitment to responsible gameplay, Diverse and inclusive work environment, Values: Talent Unleashed, All About the Player, Collective Brilliance, Good Business, Good Citizen.","World leader in gaming content and technology, Opportunity to work on casino and mobile games, Commitment to sustainability and responsible gameplay.",,"63% of applicants have a Bachelor of Technology, 80% are entry-level applicants."
"The job posting is for a Senior Software Engineer at Payoneer. The information provided includes details about the company, job responsibilities, required skills, and company culture. I will extract the relevant information and populate the output fields accordingly.",Payoneer,Senior Software Engineer,"Gurugram, Haryana, India",Fintech,"REST API integration, Elasticsearch, Kibana, Logstash",Hybrid,5,7,"1,001-5,000",0,,,26,"Financial Services company with 1,001-5,000 employees","Translate requirements and implement product features, work as a team lead, deliver best-in-class code, improve products through innovation, benchmark and optimize, develop features for distributed transaction processing systems, implement automated tests, debug production issues, optimize performance, stay abreast of new technologies.","Node.JS, Nestjs, Javascript, Java, Typescript, SQL (Postgres), NoSQL (MongoDB), DOM manipulation, CSS, memory management, multithreaded programming, unit-testing, TDD, relational and NoSQL databases, object-oriented design, data structures, CI/CD (Jenkins/CircleCI), microservices, Agile (SCRUM, JIRA), Git, WebSocket, REDIS, Memcached, Cloud Messaging Frameworks, Elasticsearch ELK stack.",Bachelors,"The company emphasizes acting as a customer partner, continuous improvement, accountability, and building each other up. They are committed to diversity and inclusion.",The company focuses on empowering small and medium-sized businesses globally and removing barriers to cross-border commerce.,,"68% of applicants have a Bachelor's Degree, and 50% are at the Senior level."
"The job posting is for a Pega Software Engineer at NatWest Group in Gurugram, Haryana, India. The posting details the responsibilities, required skills, and company information. I've extracted the relevant information to populate the output fields. The experience level is not explicitly stated, so I'll estimate it as entry-level based on the applicant seniority level data. Salary information is not provided.",NatWest Group,"Entry-level, Pega Software Engineer, Engineer","Gurugram, Haryana, India",Development,Pega,Hybrid,0,2,"10,001+",0,,,82,"Large banking company with over 10,000 employees.","Engineering and maintaining software solutions, collaborating with engineers and business analysts, producing high-quality software, working across the full software lifecycle (requirements analysis, design, coding, testing, deployment, and operations).","Experience with development and testing tools, bug tracking tools, and wikis. Experience in multiple programming languages or low-code toolsets. Experience with DevOps and Agile methodology. Background in solving complex analytical and numerical problems. Implementing programming best practices (scalability, automation, virtualization, optimization, availability, and performance).",Bachelors,"The company emphasizes employee growth, learning, and commitment to climate solutions. They offer a dynamic and leading learning culture and prioritize enterprise as a force for change.","The company is committed to driving change for communities in enterprise, learning, and climate. They are also focused on removing barriers to entry and creating a great place to work.",,"80% of applicants have a Bachelor's Degree, and 57% are entry-level applicants."
"The job posting is for a Software Engineer with Ruby on Rails experience at PAR Technology. The information provided includes details about the company, job responsibilities, technical requirements, and application process. I will extract the relevant information and populate the output fields accordingly.",PAR Technology,Senior Ruby on Rails Engineer,"Gurugram, Haryana, India",Full-stack,"Ruby on Rails, MySQL, Snowflake, MongoDB, AWS, Docker, Kubernetes",Hybrid,3,5,"1,001-5,000",0,,,100,"Large company (1,001-5,000 employees)","Writing scalable, robust, testable, efficient, and easily maintainable code. Translating software requirements into stable, working, high performance software. Playing a key role in architectural and design decisions, building toward an efficient micro services distributed architecture.","Working experience on Ruby-on-Rails(ROR). Experience with enterprise grade systems. Experience designing web services. Knowledge of scaling systems with database bottlenecks. Exposure to Microservices architecture. Familiarity with OAuth, JWT, SSO, Authentication, and Identity Federation. Familiarity with AWS, Docker, and Kubernetes. Experience in MySQL, Snowflake, and MongoDB.",Bachelors,The posting mentions a commitment to equal employment opportunities and provides contact information for accommodation requests. It also highlights the company's focus on innovation and customer success.,"The company emphasizes a ""Better Together"" ethos and a unified customer experience approach. They are a leader in restaurant technology and offer a range of solutions for the industry.",,51% of applicants have a Bachelor of Technology. 71% of applicants are entry level.
"The job posting is for a Solutions Engineer role at PubMatic, focusing on DSPs. The information provided is comprehensive, detailing responsibilities, requirements, company culture, and benefits. I've extracted the relevant details to populate the output fields.",PubMatic,Senior Solutions Engineer,"Gurugram, Haryana, India",AdTech,"Python, SQL, Database tools, Web server/Ad server",Hybrid,2,5,"501-1,000",0,,,61,"Public Company (Nasdaq: PUBM), AdTech platform","Influence product roadmap, work with customer-facing teams, respond to escalations, participate in business reviews, collaborate with operations, product management, and engineering, and grow DSP portfolio.","Python, SQL, Database tools, Web server/Ad server/Mozilla Firefox, understanding of RTB and programmatic supply chain.",Bachelors,"Hybrid work schedule, healthcare insurance, paternity/maternity leave, broadband reimbursement, healthy snacks and catered lunches, diverse and inclusive culture.","Focus on DSPs, opportunity to influence product roadmap, strong emphasis on collaboration and problem-solving.",,"42% have a Bachelor of Technology, 62% are entry-level applicants."
"The job description provides a detailed overview of a Node.js developer role at Affle, specifically within the Newton business unit. The information includes company details, job responsibilities, required skills, and applicant insights. I've extracted the relevant information to populate the output fields.",Affle,"Senior, Node.js, Engineer","Gurugram, Haryana, India","AI, Web, Development","Node.js, Express.js, NestJS, Fastify, MySQL, PostgreSQL, MongoDB, Redis, Kafka, RabbitMQ, Redis Streams, BigQuery, Snowflake, Redshift, Spark, Trino/Presto, DBT, SQLMesh, Apache Airflow, Kestra, Docker, Jenkins, PM2, Winston, Pino, S3, Lambda, Cloud Functions",Hybrid,3,5,"501-1,000",3,,,100,"Public company with 501-1000 employees, backed by investors like Microsoft and Bennett Coleman & Company.","Build and maintain performant APIs and backend services using Node.js. Develop and manage ETL/ELT pipelines, data models, and schemas. Ensure data quality and integrity. Work with database technologies. Implement integrations with third-party APIs. Write unit, integration, and E2E tests. Collaborate with frontend, DevOps, and data engineering teams. Monitor and optimize system performance. Contribute to CI/CD workflows and infrastructure automation.","3+ years of experience in backend development using Node.js. Hands-on experience with Express.js, NestJS, or other Node.js frameworks. Understanding of data modelling, partitioning, indexing, and query optimization. Experience in building and maintaining data pipelines. Familiarity with stream processing and messaging systems. Solid understanding of SQL and NoSQL data stores. Strong knowledge of JavaScript and TypeScript. Familiarity with cloud platforms and containerized environments. Experience with data warehouses.",Bachelors,"The job description doesn't explicitly detail benefits or company culture, but Affle is described as a global technology company with a focus on innovation and mobile advertising.","The role is within the Newton business unit, which focuses on performance-focused Apple Search Ads management powered by data intelligence and AI.",,"61% of applicants have a Bachelor of Technology degree, and 70% are entry-level applicants."
"The job posting is for a Senior Engineer role at dunnhumby, focusing on React, C#, and .Net development. The information provided includes details about the company, job responsibilities, technical requirements, benefits, and company culture. I've extracted the relevant information to populate the output fields.",dunnhumby,Senior Engineer-full-stack,"Gurgaon, Haryana, India",full-stack,"React, C#, .Net, SQL, Docker, Kubernetes, CI/CD",Hybrid,5,8,"1,001-5,000",0,,,100,"Large company with 1,001-5,000 employees","Developing APIs, developing comprehensive automated tests, working with product management, elaborating user stories, delivering products, becoming a domain expert, mentoring junior engineers, supporting tech leadership, contributing to team performance.","Strong understanding of object-oriented programming, proficiency in C#, .Net Core, React, experience with SQL databases, knowledge of containerization (Docker, Kubernetes), experience with CI/CD tools (Octopus, Gitlab, TeamCity), experience with cloud technologies (Azure/GCP/AWS), knowledge of agile methodologies (Scrum/Kanban).",Bachelors,"Flexible working hours, birthday off, investment in cutting-edge technology, inclusive culture with thriving networks (dh Gender Equality Network, dh Proud, dh Family, dh One, dh Thrive).","Focus on customer data science, nimble small-business feel within a large company, commitment to diversity and inclusion.",,"54% of applicants have a Bachelor of Technology, 73% are entry-level applicants."
"The job description provides details for a Technical Support Engineer role at Nielsen. I have extracted the relevant information to populate the requested fields, including company details, job specifics, experience levels, salary information (though absent in the text), and other relevant details.",Nielsen,"Seniority: Entry level, Title: Technical Support, Role: Engineer","Gurgaon, Haryana, India",Cloud Support,"Java, SQL, AWS",Hybrid,4,6,"10,001+",1,,,100,"Large company (10,000+ employees), Software Development","Providing technical support, troubleshooting issues, escalating to development teams, maintaining SOPs, collaborating with cross-functional teams, and proactively identifying process improvements.","Proficiency in Java, excellent SQL skills, understanding of database concepts, proficiency in AWS cloud platform, good problem-solving skills, and ability to follow/create detailed SOPs. Knowledge of Scala/Python and big data technologies (Spark, Hive) are good to have.",Bachelors,"The job description highlights Nielsen's commitment to excellence, perseverance, and making an impact. It emphasizes a dynamic team environment and a commitment to employee success.",The role involves supporting critical lineups and metadata management across various media channels. It requires flexibility to work across different time zones.,,"46% of applicants have a Bachelor of Technology, and 62% are entry-level applicants."
"The job description provides details for a Database Reliability Engineer role at Rackspace Technology. The information includes job responsibilities, required skills, experience level, and company details. I will extract the relevant information to populate the output fields.",Rackspace Technology,Junior Database Reliability Engineer,"Gurgaon, Haryana, India",Cloud Computing,"SQL, MySQL, PostgreSQL, SQL Server, MongoDB, Cassandra, Linux, Windows, Tomcat, IBM MQ, Kafka, Datadog, Prometheus, Grafana, ELK stack",Hybrid,1,4,"5,001-10,000",1,,,100,"Large enterprise, IT Services and IT Consulting","Create, maintain, and use Standard Operating Procedures (SOP’s), work in 24X7 rotational shifts, implement structured handovers, engage with customers, perform day-to-day operations like backup and restore, access management, patching, plan and execute database software upgrades, database installation, configuration, operation and management, understand High Availability and Disaster Recovery strategy, monitor and engage on requests related to Database & Middleware services, categorize requests, engage with cross-functional teams, track metrics, and report monthly performance summaries.","Strong written and verbal communication skills, understanding of Structured Query Language (SQL) and relational databases (e.g., MySQL, PostgreSQL, SQL Server) and/or NoSQL databases (e.g., MongoDB, Cassandra), familiarity with Linux and/or Windows operating systems, familiarity with common middleware technologies (e.g., Tomcat, IBM MQ, Kafka), understanding of ITIL frameworks including Change management, problem management, Incident management, Project management, working effectively with teams, analyzing data, handling unexpected situations, prioritizing tickets, and staying up-to-date with the latest technologies.",Bachelors,"Rackspace Technology is a best place to work, year after year according to Fortune, Forbes and Glassdoor, attracting and developing world-class talent. They embrace diversity and inclusion, and are committed to offering equal employment opportunity.","The company emphasizes a connection to a central goal, valuing members of a winning team on an inspiring mission. They encourage bringing one's whole self to work and believe unique perspectives fuel innovation.",,"43% of applicants have a Bachelor of Technology, and 72% are entry-level applicants."
"The job posting is for an ASIC Engineer at NVIDIA in Gurugram, Haryana, India. The description details responsibilities related to hardware design, verification, and analysis. The posting provides information about the company, benefits, and culture. I have extracted the relevant information to populate the output fields.",NVIDIA,Senior ASIC Engineer,"Gurugram, Haryana, India","AI, Semiconductor","RTL development, Verification, Timing analysis, DFT, Micro-architecture, High Speed IO, NOC, Memory controller, Cache coherency",Hybrid,2,5,"10,001+",1,,,100,"Public Company, Technology, Manufacturing","Hardware modeling, performance analysis, architecture trade-offs, workload development, RTL implementation, verification, timing closure, silicon validation, test plan creation, UVM methodology, functional coverage, timing analysis, floor planning, DFT implementation, and collaboration with cross-functional teams.","RTL development, Verification, Timing analysis, DFT, Micro-architecture, High Speed IO, NOC, Memory controller, Cache coherency, GPU/CPU/SOC design, UVM, tcl/primetime scripting.",Bachelors,"Comprehensive benefits package, focus on employee well-being, commitment to diversity, equity, and inclusion, opportunities for career growth and learning, commitment to environmental sustainability, and work-life balance.","NVIDIA is a pioneer in accelerated computing and AI, offering opportunities to work on cutting-edge technologies and contribute to a rapidly evolving field. Strong emphasis on innovation, employee development, and social impact.",1978791,"27% employee growth, 34% of applicants have a Bachelor of Technology, 52% of applicants are entry level."
"The job description provides details about an Automation Platforms Engineer role at FORVIA HELLA. The information includes job responsibilities, required qualifications, company details, and application instructions. I will extract the relevant information and populate the output fields accordingly.",FORVIA HELLA,Junior Automation Engineer,"Gurugram, Haryana, India",Automotive Electronics,"Redwood, BMC, UiPath, SAP basis",Hybrid,0,3,37500,2,,,79,Large international automotive supplier,"Administration of Job-Scheduling and Data processing platforms (Redwood, BMC), scheduling and monitoring jobs, administration of RPA infrastructure (UiPath), provisioning and administration of RPA robots, working on incident tickets, continuous improvement of tools, workflows and processes, knowledge transfer, and creating documentation.","Knowledge of information technologies, advanced skills in Windows and Linux administration, SAP basis knowledge desired.",Bachelors,"The company emphasizes inclusion and diversity, and offers opportunities for employee development.",The company highlights its commitment to employee development and a diverse and inclusive work environment.,,"60% of applicants have a Bachelor of Technology degree, and 52% are entry-level applicants."
"The job posting is for a Deputy Engineer - Mechanical at Jacobs, focusing on water and wastewater treatment plant design. The information provided is comprehensive, detailing responsibilities, technical requirements, and company culture. I have extracted the relevant details to populate the output fields.",Jacobs,Junior Mechanical Engineer,"Gurgaon, Haryana, India",Engineering,"Piping design, hydraulic calculations, AutoCAD, Plant 3D, Navisworks, Water Hammer, Fathom, Water Gems, surge software",Hybrid,4,8,10000+,1,,,100,Large multinational engineering and consulting firm,"Technical competence, independent problem-solving, report preparation, adherence to procedures, project completion, teamwork, communication, presentation skills, mentoring, quality assurance.","Experience in water and wastewater treatment plant design, knowledge of relevant codes and standards (IS, AWWA, ASME, ANSI, BS, CPHEEO), proficiency in AutoCAD and 3D modeling software (Plant 3D, Navisworks), understanding of hydraulic calculations, experience with plant hydraulics software.",Bachelors,"Focus on employee wellbeing, flexible working arrangements, extended leave options, social, health, and wellbeing initiatives, career growth opportunities, collaborative environment, emphasis on diversity, equity, and inclusion.","Hybrid work model, commitment to sustainability and social impact, focus on employee growth and wellbeing, global brand with a strong commitment to innovation.",,"38% of applicants have a Bachelor of Technology, 47% are entry-level applicants."
"The job posting is for an Engineer - PHE (Plumbing, Heating, and Engineering) at AECOM in Gurugram, Haryana, India. The posting provides details about the company, job description, qualifications, and benefits. I have extracted the relevant information to populate the output fields.",AECOM,Senior Engineer - PHE,"Gurugram, Haryana, India",Engineering,"Plumbing, Heating, HVAC systems, Fire services, Building Information Modeling (BIM), CAD software (Revit, AutoCAD, Navisworks)",Hybrid,3,5,"2,121,847+",2,,,34,"Global infrastructure consulting firm, Fortune 500 company","Designs and develops plumbing systems, calculates heating and cooling loads, collaborates with architects, prepares technical specifications and drawings, conducts site visits, participates in project meetings, assists in cost estimation, stays current with industry trends.","Proficient in PHE & Fire services Design for Buildings, Advanced knowledge of local and international building codes, Expert-level proficiency in Revit, AutoCAD, and Navisworks, Strong understanding of HVAC systems, Experience with Building Information Modeling (BIM) and 3D modeling techniques, Familiarity with sustainable design practices and LEED certification processes.",Bachelors,"Comprehensive benefits including medical, dental, vision, life, disability, paid time off, retirement savings plan, employee stock purchase plan, well-being resources, and a focus on employee growth and development.","Opportunity to work on groundbreaking projects globally, a welcoming workplace built on respect and collaboration, and a commitment to delivering a better world through infrastructure solutions.",,"60% of applicants are entry level, 55% have a Bachelor of Technology degree."
